agenda_date,RIN,agency_code,agency_name,department_code,department_name,rule_title,abstract,priority,RIN_status,rule_stage,major,CFR,legal_authority,regulatory_flexibility_analysis,statement_of_need,summary_of_the_legal_basis,alternatives,federalism,cost_and_benefits,risks,agency_contact_list,legal_deadline1,legal_deadline2,legal_deadline3,legal_deadline4,legal_deadline5,legal_deadline6,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25
199510,0524-AA07,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,National Research Initiative Competitive Grants Program Administrative Provisions,"The Cooperative State Research, Education and Extension Service (CSREES) proposes to amend its regulations relating to the administration of the National Research Initiative Competitive Grants Program that prescribe the procedures to be followed annually in the solicitation of competitive grant proposals, the evaluation of such proposals, and the award of competitive research grants under this program. This action amends those regulations to clarify certain aspects of the program and to add eligibility requirements for the Agricultural Research Enhancement Awards.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,7 CFR 34H,7 USC 450i(B); 7 USC 450i(c)(1)(A); 7 USC 3333; 7 USC 5921,No,,,,,,,"Colien,Hefferan,Acting Deputy Administrator,0524,202 401-1761,chefferan@nifa.usda.gov,AG Box 2240,Washington,DC,20250-2240",,,,,,,NPRM; 05/11/1995; 60 FR 25593,NPRM Comment Period End; 06/12/1995,Final Action; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA08,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,Small Business Innovation Research Program Administrative Provisions,We propose to amend the Administrative Provisions of the Small Business Innovation Research (SBIR) Program to incorporate compliance with the National Environmental Policy Act (NEPA) and changes to conform with the January 1993 issue of the SBIR Policy Directive. These changes include rewording and/or adding additional wording to further explain existing definitions and new requirements as well as the inclusion of new definitions and new requirements including the Documentation of Multiple Phase II awards. We propose to publish the SBIR Administrative Provisions as one document. This would be a practical and economical way to serve the public as well as offer one updated reference document for easy access.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,7 CFR 3403,15 USC 638,No,,,,,,,"Louise,Ebaugh,Director, Awards Management Division,0524,202 401-5050,lebaugh@nifa.usda.gov,AG Box 2245,Washington,DC,20250-2245",,,,,,,NPRM; 08/17/1995,NPRM Comment Period End; 09/19/1995,Final Action; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA12,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,Agricultural Telecommunications Program Administrative Provisions,"The objective of this proposal is to provide administrative regulations relating to the Cooperative State Research, Education, and Extension Service Agricultural Telecommunications Program.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,Not yet determined,7 USC 3318,No,,,,,,,"Phillip,Carter,A.,Policy Advisor, Policy and Program Liaison Staff,0524,202 401-6309,pcarter@nifa.usda.gov,1400 Independence Avenue SW,Washington,DC,20250-2299",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA13,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,Administrative Manual for Federal Excess Personal Property Loaned to State Cooperative Research Activities,This regulation will set forth the procedures to be followed by Cooperative Research entities eligible to receive Federal excess personal property loaned by the Cooperative State Research Education and Extension Service and used in the conduct of approved USDA cooperative research projects and programs.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,7 CFR 3408,40 USC 483 (d)(2)(E),No,,,,,,,"Ralph,Dillard,Head, Property Services Section,0524,202 720-7681,3M00 Cotton Annex Building, AG Box 0993,Washington,DC,20250-0993",,,,,,,NPRM; 10/14/1993; 58 FR 53153,NPRM Comment Period End; 11/15/1993,Interim Final Rule; To Be Determined,,,,,,,,,,,,,,,,,,,,,,
199510,0524-AA14,0524,"Cooperative State Research, Education, and Extension Service",0500,Department of Agriculture,Personal Property,"This regulation will set forth the procedures to be followed by State Cooperative Extension entities eligible to receive Federal excess personal property loaned by the Cooperative State Research, Education and Extension Service and used in the conduct of approved USDA cooperative Extension projects and programs. It will also cover the procedure for acquisition and disposal of personal property purchased with Federal funds.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,Not yet determined,40 USC 483(d)(2)(E),No,,,,,,,"Ralph,Dillard,Head, Property Services Section,0524,202 720-7681,3M00 Cotton Annex Building, AG Box 0993,Washington,DC,20250-0993",,,,,,,NPRM; To Be Determined,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA42,0551,Foreign Agricultural Service,0500,Department of Agriculture,"Regulation Governing the Financing of Commercial Sales of Agricultural Commodities (PL 480, Title I)","This ANPRM requests comments on how the procedures for arranging the purchase and shipment of commodities under the Public Law 480, Title I program, or any and all parts of the program, could be improved. It also asks for comments on three specific issues which have been raised in recent years: ^PCould the purchase authorization be eliminated, with relevant portions placed in the regulations or the Invitations for Bids? ^PShould the Commodity Credit Corporation (CCC) pay suppliers directly for the costs which are financed by CCC instead of requiring the importing country to open letters of credit? ^PShould CCC finance commodity contracts on a cost and freight basis, under which the commodity supplier also provides the ocean transportation?",Other Significant,First Time Published in The Unified Agenda,Prerule Stage,,7 CFR 17,7 USC 1701 to 1705; 7 USC 1736a; 7 USC 1736c; 7 USC 5676; EO 1220,Undetermined,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,ANPRM; 09/13/1995; 60 FR 47495,ANPRM Comment Period End; 11/12/1995,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA34,0551,Foreign Agricultural Service,0500,Department of Agriculture,Direct Credit Programs (GSM-201 and GSM-301) Risk Assurance Program (GSM-101) CCC Barter Program,"The CCC is issuing a proposed rule to delete the regulations for the Direct Credit Programs (GSM-201 and GSM-301), Risk Assurance Program (GSM-101), and CCC Barter Program. CCC is proposing to delete these regulations because they are obsolete.",Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 1487; 7 CFR 1495; 7 CFR 1491; 7 CFR 1492,15 USC 714(c) to 714(f); 07 USC 17070; 07 USC 5602; 07 USC 5621; 07 USC 5661; 07 USC 5662; 07 USC 5676,No,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,NPRM; 12/00/1995,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA39,0551,Foreign Agricultural Service,0500,Department of Agriculture,Sugar Import Licensing,"This advance notice of proposed rulemaking addresses some administrative changes to the sugar import licensing programs. These changes are intended to increase the regulatory efficiency, assist in verifying program compliance and provide for the adherence of the applicable sugar provisions of the North American Free Trade Agreement.",Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 1530 subpart A; 7 CFR 1530 subpart B; 7 CFR 1530 subpart C,19 USC 1202,Undetermined,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,ANPRM; 05/04/1994; 59 FR 23017,ANPRM Comment Period End; 07/08/1994,NPRM; 12/31/1995,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA44,0551,Foreign Agricultural Service,0500,Department of Agriculture,Export Sales Reporting Requirements,Regulation to be revised to add sunflowerseed and sunflowerseed oil to the list of commodities to be reported under the Export Sales Reporting requirements.,Other Significant,First Time Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 20,7 USC 5712,Yes,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,NPRM; 10/00/1995,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA45,0551,Foreign Agricultural Service,0500,Department of Agriculture,Limitation on Imports of Meat,"The Uruguay Round Agreements Act repealed the Meat Import Act of 1979. As a result, the above regulation is no longer necessary and may be expunged from the CFR.",Other Significant,First Time Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 16,PL 84-540; 7 USC 1854; EO 12188; EO 11539,No,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,NPRM; 03/31/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA46,0551,Foreign Agricultural Service,0500,Department of Agriculture,Section 22 Import Fees,"The proposed rule would eliminate the import licensing system for sugar exempted from the Section 22 import licensing fee. The fee on raw sugar was suspended in 1985 and eliminated on January 1, 1995 as a result of the Uruguay Round Agreements. Importations of sugar for the manufacture of polyhydric alcohol have entered against licenses issued under authority of 7 CFR 1530 and not under this program. With the complete elimination of the import fee, this CFR subpart can be deleted.",Other Significant,First Time Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 6.50 to 6.55; 7 CFR 6.66; 7 CFR 6.57,PL 103-465,No,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,NPRM; 03/01/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA48,0551,Foreign Agricultural Service,0500,Department of Agriculture,Reentry of Cotton Into the United States,"The proposed rule would eliminate the requirement and procedures to obtain certificates from the Secretary of Agriculture in order to reenter U.S. cotton into the United States against an offsetting unsubsidized cotton export. This was a provision for ex-quota entry of U.S. cotton under certain circumstances because Section 22 provided for a zero quota on the reentry of cotton grown in the United States. As a result of the Uruguay Round Agreements, this provision has been eliminated from the Harmonized Tariff Schedule of the United States and the ban on the reentry of U.S. cotton has been replaced by a tariff-rate quota on cotton imported from any country.",Info./Admin./Other,First Time Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 6.71 to 6.75,PL 103-465,No,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,NPRM; 03/01/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA49,0551,Foreign Agricultural Service,0500,Department of Agriculture,Calculation of Market Stabilization Price,"The proposed rule would eliminate the requirement that the Secretary of Agriculture calculate and publish a market stabilization price for sugar to establish a basis for liquidated damages in the Sugar Re-export Programs. Since 1990, the MSP has not been used for any purpose in the re-export programs, and the Secretary has not published an MSP since 1989. The MSP was used for two separate regulatory functions since its inception, which are no longer used. Thus this CFR subpart can be deleted.",Info./Admin./Other,First Time Published in The Unified Agenda,Proposed Rule Stage,,7 CFR 6.100 to 6.102,"Presidential Proclamation 5002, 47 FR 54269",No,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,NPRM; 03/01/1996,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA24,0551,Foreign Agricultural Service,0500,Department of Agriculture,Regulations Governing Implementation of the Market Promotion Program (MPP) Overseas,"These regulations are promulgated to provide minimum requirements and criteria for parties interested in participating in the Market Promotion Program (MPP) as authorized by the Agricultural Trade Act of 1978, as amended, and how they may apply and participate.",Other Significant,Previously Published in The Unified Agenda,Final Rule Stage,,7 CFR 1736; 7 CFR 1485,7 USC 1485,No,,,,,,,"Barry,Abromovage,D.,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, STOP 3225,Washington,DC,20250",,,,,,,NPRM; 04/26/1990; 55 FR 17618,NPRM Comment Period End; 06/26/1990,Interim Final Rule; 08/16/1991; 56 FR 40745,Interim Final Rule Comment Period End; 10/15/1991; 56 FR 40745,Second Interim Final Rule; 11/17/1993; 58 FR 60549,Third Interim Final Rule; 12/00/1995,,,,,,,,,,,,,,,,,,,
199510,0551-AA27,0551,Foreign Agricultural Service,0500,Department of Agriculture,Section 22 Import Quotas,"Provides for quotas for certain dairy and other agricultural products to prevent material interference with the domestic price support program for these commodities. In the case of dairy products, controls are administered through a licensing procedure so that the quotas may be allocated in a fair and equitable manner among importers and users. A fee is charged for each license issued to recover the costs of administering the licensing system. Procedures used to implement section 22 import quotas will need to be revised as the Uruguay Round multilateral trade agreement is implemented.",Economically Significant,Previously Published in The Unified Agenda,Final Rule Stage,,7 CFR 6.20 to 6.34,EO 3019,Yes,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",Statutory; Final; 01/01/1995;   ,,,,,,ANPRM; 06/02/1994; 59 FR 28495,ANPRM Comment Period End; 08/01/1994,Interim Final Rule; 05/02/1995; 60 FR 21425,Interim Final Rule; 09/13/1995; 60 FR 47453,Interim Final Rule; 10/00/1995,,,,,,,,,,,,,,,,,,,,
199510,0551-AA30,0551,Foreign Agricultural Service,0500,Department of Agriculture,CCC Export Credit Guarantee Program (GSM-102) and CCC Intermediate Export Credit Guarantee Program (GSM-103),"The proposed Rule will amend regulations for CCC export credit guarantee programs by adding a new subpart D, supplier credit guarantee program. Subpart D will establish the terms and conditions by which U.S. exporters of U.S. agricultural commodities and products may obtain CCC credit guarantees for short term credits extended directly to foreign buyers",Economically Significant,Previously Published in The Unified Agenda,Final Rule Stage,,7 CFR 1493,15 USC 714(b); 15 USC 714(f); 7 USC 5602; 7 USC 5622; 7 USC 5661; 7 USC 5663; 7 USC 5664; 7 USC 5676,No,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,Interim Final Rule; 06/06/1991; 56 FR 25998,Final Rule; 10/19/1994; 59 FR 52866,Proposed Rule; 07/19/1995; 60 FR 37025,Final Rule; 01/01/1996,Final Action; To Be Determined,,,,,,,,,,,,,,,,,,,,
199510,0551-AA36,0551,Foreign Agricultural Service,0500,Department of Agriculture,Regulations Governing the Financing of Commercial Sales of Agricultural Commodities (P.L. 480 Title I Program),"The Final Rule clarifies the Interim Rule published 2/1/91 in response to the 1990 food, agriculture, conservation and trade act; it changes the basis for demurrage/despatch computations and payments, expands U.S. government access to records, and clarifies certain reporting requirements. This eliminates the potential for certain conflicts of interest under the P.L. 480, Tile I program, keeps program costs as low as possible, insures fair and equitable treatment to suppliers, and reflects USDA administrative reorganization",Other Significant,Previously Published in The Unified Agenda,Final Rule Stage,,7 CFR 17,7 USC 1701 to 1705; 7 USC 1736 (a); 7 USC 1736 (c); 7 USC 5676; EO 12220,Undetermined,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,NPRM; 11/12/1992; 57 FR 53607,NPRM Comment Period End; 01/13/1993,Final Action; 10/15/1995,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA43,0551,Foreign Agricultural Service,0500,Department of Agriculture,"Regulations Governing the Financing of Commercial Sales of Agricultural Commodities (P.L. 480, Title I)","The Public Law 480, Title I Financing Regulations specify the documents which the suppliers of commodities and of ocean transportation must present to the bank to receive payment. One of these is Form CCC-106, ""Advice of Vessel Approval,"" issued by CCC, providing the written approval for each shipment and containing details of the ocean freight contract terms. This proposed rule would eliminate the requirement that the commodity supplier present this form to be paid, since the commodity supplier has no control over the ocean transportation. It would also shorten Appendices A and B of the regulations, which specify the basic contracting and documentary requirements for CCC to finance a wide variety of commodities. The proposed rule would eliminate from Appendices A and B the sections covering 15 commodities which have not been shipped for five years or more.",Other Significant,First Time Published in The Unified Agenda,Final Rule Stage,,7 CFR 17,7 USC 1701 to 1705; 7 USC 1736a; 7 USC 1736c; 7 USC 5676; EO 1220,Undetermined,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,NPRM; 08/22/1995; 60 FR 43566,NPRM Comment Period End; 09/12/1995,Interim Final Rule; 11/00/1995,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA26,0551,Foreign Agricultural Service,0500,Department of Agriculture,Proposed Regulations Governing Implementation of the Cooperator Market Development Program Overseas,"These regulations are promulgated to provide minimum requirements and criteria for parties interested in participating in the Cooperator Market Development Program, as authorized in Section 601 of the Agricultural Act of 1954 (PL 480), and how they may apply and participate.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,7 CFR 1550,7 USC 1704,No,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA31,0551,Foreign Agricultural Service,0500,Department of Agriculture,Program Criteria for the Sunflowerseed Oil Assistance Program (SOAP) and the Cottonseed Oil Assistance Program (COAP),"This regulation establishes the criteria to evaluate and approve proposals for country and commodity initiatives under the SOAP and COAP. The establishment of criteria for these programs is mandated under Section 403(a) of the Agricultural Trade Act of 1978, as amended in Section 1531 of the Food, Agriculture, Conservation, and Trade Act of 1990.",Other Significant,Previously Published in The Unified Agenda,Long-Term Actions,,7 CFR 1570,"PL 101-624, sec 1531; 7 USC 5663",No,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",Statutory; NPRM; 05/31/1991;   ,,,,,,Interim Final Rule; 08/27/1991; 56 FR 42222,,,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA32,0551,Foreign Agricultural Service,0500,Department of Agriculture,Reporting Requirements Related to Tobacco Exports,"Exporters/manufacturers of unmanufactured tobacco, cigarettes and cigarette-ready tobacco are required to maintain records and submit reports pertaining to such records on tobacco content related to crop year, grade, type, country of origin, and poundage to the Secretary of Agriculture. Submitted information will be provided to Congress. Annual cost to the Government is established at $100,000.",Info./Admin./Other,Previously Published in The Unified Agenda,Long-Term Actions,,7 CFR 1525,"7 USC 509; PL 101-624, sec 1557",Yes,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,ANPRM; 12/17/1993; 58 FR 65941,ANPRM Comment Period End; 03/17/1994,NPRM; To Be Determined,,,,,,,,,,,,,,,,,,,,,,
199510,0551-AA33,0551,Foreign Agricultural Service,0500,Department of Agriculture,Sunflowerseed Oil Assistance Program Operations (SOAP) and Cottonseed Oil Assistance Program Operations (COAP),"Title 7, part 1570, subpart B will establish operational regulations for the Sunflowerseed Oil Assistance Program (SOAP). Title 7, part 1570, subpart C will establish operational regulations for the Cottonseed Oil Assistance Program (COAP). These programs have been previously administered by the Foreign Agricultural Service through the issuance of announcements and invitations for offers. The regulations will replace the issued announcements for SOAP and COAP.",Other Significant,Previously Published in The Unified Agenda,Long-Term Actions,,7 CFR 1570 subpart B; 7 CFR 1570 subpart C,"7 USC 1464, sec 201(b)(2)(A); PL 101-624, sec 1541 As amends 7 USC 1464, sec 201 (b)(2)",Undetermined,,,,,,,"Robert,Riston,Regulatory Coordinator,0551,Foreign Agricultural Service,FAS,202 720-6713,Room 4957, South Building, 14th and Independence Avenue,SW,Washington,DC,20250-1060",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
