agenda_date,RIN,agency_code,agency_name,department_code,department_name,rule_title,abstract,priority,RIN_status,rule_stage,major,CFR,legal_authority,regulatory_flexibility_analysis,statement_of_need,summary_of_the_legal_basis,alternatives,federalism,cost_and_benefits,risks,agency_contact_list,legal_deadline1,legal_deadline2,legal_deadline3,legal_deadline4,legal_deadline5,legal_deadline6,legal_deadline7,action1,action2,action3,action4,action5,action6,action7,action8,action9,action10,action11,action12,action13,action14,action15,action16,action17,action18,action19,action20,action21,action22,action23,action24,action25,action26,action27,action28,action29,action30,action31,action32,action33,action34,action35,action36,action37,action38,action39,action40,action41,action42,action43,action44,action45,action46,action47,action48,action49,action50,action51,action52,action53,action54,action55,action56,action57,action58
199510,3235-AD97,3235,Securities and Exchange Commission,,,International Tender and Exchange Offers,"The Commission issued for comment rule proposals to facilitate the extension of international tender offers to U.S. holders. The proposed rules would provide exemptions from the tender offer rules, securities registration and reporting requirements, and trust indenture provisions, as well as allow the registration of foreign exchange offers on the basis of foreign disclosure.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,17 CFR 200; 17 CFR 230; 17 CFR 239; 17 CFR 240; 17 CFR 260,15 USC 77b; 15 USC 77f; 15 USC 77g; 15 USC 77h; 15 USC 77j; 15 USC 77s; 15 USC 77sss; 15 USC 78c; 15 USC 78l; 15 USC 78m; 15 USC 78n; 15 USC 78o; 15 USC 78w; 15 USC 79t; 15 USC 80a-37,No,,,,,,,"Gregg,Corso,W.,Office of Tender Offers, Division of Corporation Finance,3235,Securities and Exchange Commission,SEC,202 942-2920,Division of Corporation Finance, 450 5th Street NW,Washington,DC,20549",,,,,,,,ANPRM; 06/12/1990; 55 FR 23751,ANPRM Comment Period End; 09/21/1990,NPRM; 06/14/1991; 56 FR 27582,NPRM Comment Period End; 09/09/1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF74,3235,Securities and Exchange Commission,,,Asset-Backed Securities Disclosure,The Division of Corporation Finance is considering whether to recommend to the Commission amendments to revise rules and forms which would specify disclosure requirements for asset-backed securities transactions.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,17 CFR 229; 17 CFR 230; 17 CFR 239; 17 CFR 240; 17 CFR 249,15 USC 77e; 15 USC 77f; 15 USC 77g; 15 USC 77h; 15 USC 77j; 15 USC 77s; 15 USC 78l; 15 USC 78m; 15 USC 78n; 15 USC 78o; 15 USC 78w,Undetermined,,,,,,,"Michael,Mitchell,H.,Division of Corporation Finance,3235,Securities and Exchange Commission,SEC,202 942-2900,Division of Corporation Finance, 450 5th Street NW,Washington,DC,20549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF58,3235,Securities and Exchange Commission,,,Off-the-Page Prospectuses for Open-End Management Investment Companies,"The Commission proposed for public comment amendments to rule 482 under the Securities Act containing requirements for the use of an advertisement that would allow investors the option of purchasing shares directly from an open-end investment company by completing an application form included with the advertisement. The advertisement would be a prospectus for purposes of liability under section 12(2) of the Securities Act, and would be required to contain core information about the investment company.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,17 CFR 230.482,15 USC 77j(b); 15 USC 77s(a),Yes,,,,,,,"Elizabeth,Krentzman,R.,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0687,Division of Investment Management, 450 5th Street NW,Washington,DC,20549",,,,,,,,NPRM; 03/19/1993; 58 FR 16141,NPRM Comment Period End; 06/23/1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF69,3235,Securities and Exchange Commission,,,Certain Research and Development Companies,"The Commission has proposed for public comment rule 3a-8 under the Investment Company Act which would provide a safe harbor from investment company status for a company engaged in research and development, under appropriate conditions. The rule would apply to certain companies, such as biotechnology companies, that are not primarily engaged in the investment company business.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,17 CFR 270.3a-8,15 USC 80a-6(c); 15 USC 80a-37(a),Yes,,,,,,,"Elizabeth,Krentzman,R.,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0687,Division of Investment Management, 450 5th Street NW,Washington,DC,20549",,,,,,,,NPRM; 07/15/1993; 58 FR 38095,NPRM Comment Period End; 10/13/1993; 58 FR 38095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF81,3235,Securities and Exchange Commission,,,Exemption from Certain Filing Requirements for Certain Affiliated Persons of Investment Advisers,"The Division of Investment Management is considering whether to recommend that the Commission propose amending Rule 30f-1 under the Investment Company Act to relieve certain affiliated persons of an investment adviser to a registered closed-end investment company from the filing requirements under Section 16 of the Exchange Act made applicable by Section 30(f) of the Investment Company Act. The proposed amendment is intended to exempt certain affiliated persons of an investment adviser that are not in a position to obtain confidential information about the registered closed-end investment company or to influence or effect a change in the company's policies, consistent with the purposes of Section 30(f) and Section 16 of the Exchange Act.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,17 CFR 270.30f-1,15 USC 80a-6(c); 15 USC 80a-37; 15 USC 80a-29(f),Undetermined,,,,,,,"Elizabeth,Krentzman,R.,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0687,Division of Investment Management, 450 5th Street NW,Washington,DC,20549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF89,3235,Securities and Exchange Commission,,,Exemption From Disqualification for Certain Affiliated Persons,"Section 9(a)(3) of the Investment Company Act prohibits any company from serving as employee, officer, director, member of an advisory board, investment adviser, or depositor of any registered investment company or principal underwriter for any registered, open-end company, registered unit investment trust, or registered face amount certificate company, if section 9(a)(1) or 9(a)(2) prohibits any affiliated person of that company from serving in any such capacity. The Commission has exempted several companies from section 9(a)(3) where the disqualified affiliated person does not perform or have any ability to affect the work the company does for the investment company, registered unit investment trust, or registered face amount certificate company. The Division of Investment Management is considering whether to recommend that the Commission propose a rule providing such an exemption.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Long-Term Actions,,17 CFR 270.9a-1,15 USC 80a-9(c); 15 USC 80a-37,Undetermined,,,,,,,"Elizabeth,Krentzman,R.,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0687,Division of Investment Management, 450 5th Street NW,Washington,DC,20549",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG40,3235,Securities and Exchange Commission,,,Prospectus Delivery; Securities Transactions Settlement,"The Commission has adopted amendments to its rules and forms and a new rule under the Securities Act of 1933 in order to implement two solutions to prospectus delivery issues arising in connection with the change to T+3 securities transaction settlement. The amendments and rule are based on recommendations submitted by representatives of financial intermediaries. In addition, the Commission amended an exemption from T+3 clearance and settlement for purchases and sales of securities pursuant to a firm commitment offering. Such exemption is now limited to offerings of asset-backed securities and structured securities and provides an extended settlement time frame to firm commitment offerings under certain conditions.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 228.503; 17 CFR 228.601; 17 CFR 229.502; 17 CFR 229.503; 17 CFR 229.601; 17 CFR 229.801; 17 CFR 230.402; 17 CFR 230.424; 17 CFR 230.430A; 17 CFR 230.434; 17 CFR 230.439; 17 CFR 230.457; 17 CFR 230.461; 17 CFR 230.462; 17 CFR 239.9; ...,15 USC 77f; 15 USC 77g; 15 USC 77h; 15 USC 77j; 15 USC 77s; 15 USC 78c; 15 USC 78j; 15 USC 78l; 15 USC 78o; 15 USC 78w,Yes,,,,,,,"Anne,Krauskopf,M.,Division of Corporation Finance,3235,Securities and Exchange Commission,SEC,202 551-3500,100 F Street NE,Washington,DC,20549",,,,,,,,NPRM; 02/17/1995; 60 FR 10724,NPRM Comment Period End; 03/31/1995,Final Action; 05/11/1995; 60 FR 26604,Final Action Effective; 06/07/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AC25,3235,Securities and Exchange Commission,,,Registration Fees for Certain Investment Companies,"The Commission has adopted amendments to Rules 24f-1 and 24f-2 under the Investment Company Act of 1940, the rules that permit certain investment companies to register securities sold in excess of the number of shares included in a registration statement and to register an indefinite number of securities under the Securities Act of 1933. The Commission also adopted a new Form 24f-2 for filing annual notices filed under Rule 24f-2. The amendments and the new form clarify the application of certain provisions of rule 24f-2 and make the rule's filing deadlines more flexible under certain circumstances.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 270.24f-1; 17 CFR 270.24f-2,15 USC 80a-37; 15 USC 80a-39; 15 USC 80a-24,Yes,,,,,,,"Karen,Garnett,J.,Office of Disclosure and Investment Adviser Regulation-Division of Investment Ma,3235,Securities and Exchange Commission,SEC,202 942-0728",,,,,,,,NPRM; 02/01/1995; 60 FR 7146,NPRM Comment Period End; 03/24/1995,Final Action; 09/01/1995; 60 FR 74041,Final Action Effective; 10/10/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AE94,3235,Securities and Exchange Commission,,,Investment Company Books and Records Requirements,"The staff undertook a comprehensive review of the books and records requirements under the Investment Company Act to update certain requirements relating to the portfolio transaction records of investment companies. In particular, the staff considered recommending to the Commission that current requirements under rules 31a-1 and 31a-2 be revised to enhance identification of securities in investment company portfolios. The primary objective of the proposals would be to improve the staff's abilities to conduct meaningful and efficient examinations of investment companies. The Commission is withdrawing this item from the Unified Agenda because the Commission does not expect to consider this item within the next 12 months, but the Commission may consider the item at some subsequent time.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 270.31a-1; 17 CFR 270.31a-2,15 USC 80a-31(a); 15 USC 80a-37(a); 15 USC 80a-39,No,,,,,,,"Peter,Smith,L.,Office of Inspections, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0523",,,,,,,,Deleted at Agency Request; 10/01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF49,3235,Securities and Exchange Commission,,,Exemption of Issuance and Sale of Securities by Public Utility and Non-Utility Subsidiary Companies of Registered Public Utility Holding Companies,The amendments are intended to ease the regulatory and paperwork burden associated with Commission approval for routine financings by registered holding companies and their subsidiary companies.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 250.45; 17 CFR 250.52,15 USC 79c; 15 USC 79f(b); 15 USC 79i(c)(3); 15 USC 79t; 15 USC 79l,No,,,,,,,"Bonnie,Wilkinson,Office of Public Utility Regulation, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0544",,,,,,,,NPRM; 07/07/1992; 57 FR 31156,NPRM Comment Period End; 10/13/1992,Final Action Rule amended; 06/28/1995; 60 FR 33634,Final Action Effective; 06/28/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF94,3235,Securities and Exchange Commission,,,Accounting Treatment of Investment Company Expenses Paid Through Brokerage Commission,The Commission has adopted final rule and form amendments to require investment companies to reflect as expenses the cost of services provided to the company that are paid for by a broker-dealer in exchange for the allocation of transactions to that broker-dealer. The amendments require such costs to be reflected in expenses in fund financial statements and in fund performance and expense data.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 210; 17 CFR 274,15 USC 80a-8; 15 USC 77g; 15 USC 77j,Yes,,,,,,,"Karen,Garnett,J.,Office of Disclosure and Investment Adviser Regulation-Division of Investment Ma,3235,Securities and Exchange Commission,SEC,202 942-0728",,,,,,,,NPRM; 08/17/1994; 59 FR 42187,NPRM Comment Period End; 10/17/1994,Final Action; 07/21/1995; 60 FR 38918,Final Action Effective; 09/01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG23,3235,Securities and Exchange Commission,,,"Rule 90: Pricing of Intrasystem Sales of Goods, Services, and Construction","The proposed amendment to Rule 90 would require service, sales and construction contracts among companies in a registered holding company system to be performed at cost or at market if the market price for comparable services, construction or goods is lower than cost. This proposal is being withdrawn. No further action is anticipated.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 250.90; 17 CFR 250.82; 17 CFR 250.92,15 USC 79c; 15 USC 79f(b); 15 USC 79i(c)(3); 15 USC 79m; 15 USC 79t,No,,,,,,,"Markian,Melnyk,Office of Disclosure Regulation, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0721,Office of Disclosure Regulation,****",,,,,,,,NPRM; 12/22/1994; 59 FR 67248,NPRM Comment Period End; 03/23/1995,Deleted at Agency Request; 10/01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG30,3235,Securities and Exchange Commission,,,Investment Company Risk Disclosure,"The Commission issued a concept release regarding the ways in which investment company risk disclosure can be improved. Currently, open-end and closed-end management investment companies are required to provide narrative risk disclosure in their prospectuses. The concept release requests comment on both narrative and quantitative methods for providing information to investors regarding the risks presented by funds. This item has been replaced by 3235-AG43, the number under which it was published.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 230.482; 17 CFR 239.15A; 17 CFR 274.11A; 17 CFR 239.14; 17 CFR 274.11a-1,15 USC 77a et seq; 15 USC 80a-1 et seq,No,,,,,,,"Roseanne,Harford,Office of Regulatory Policy, Division of Investment Management,3235,Securities and Exchange Commission,SEC,202 942-0689,Division of Investment Management, 450 5th Street NW,Washington,DC,20549",,,,,,,,Deleted at Agency Request; 03/29/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AD94,3235,Securities and Exchange Commission,,,Initiation or Resumption of Quotations Without Specific Information,"In the Unified Agenda of Federal Regulations published on May 8, 1995, the Commission stated its intention to withdraw this item from the published Agenda because it did not expect to consider the item within the next 12 months, with the provision that it might be considered at some subsequent point. This item is withdrawn.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 240.15c2-11,15 USC 78w; 15 USC 78c; 15 USC 78j(b); 15 USC 78o(c); 15 USC 78q(a); 15 USC 78w(a),No,,,,,,,"Nancy,Sanow,J.,Division of Trading and Markets,3235,Securities and Exchange Commission,SEC,202 551-5621,202 772-9275,sanown@sec.gov,100 F Street NE,Washington,DC,20549",,,,,,,,NPRM; 04/25/1991; 56 FR 19158,NPRM Comment Period End; 01/01/1992,Deleted at Agency Request; 10/01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AE39,3235,Securities and Exchange Commission,,,Notice by SROs Regarding Statutory Disqualifications,"In the Unified Agenda of Federal Regulations published on May 8, 1995, the Commission stated its intention to withdraw this item from the published agenda because it did not expect to consider the item within the next 12 months, with the provision that it might be considered at some subsequent point. This item is withdrawn.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 240.19h-1,15 USC 78f; 15 USC 78o; 15 USC 78o-3; 15 USC 78o-4; 15 USC 78q; 15 USC 78q-1; 15 USC 78g; 15 USC 78w,No,,,,,,,"Richard,Pullano,E.,Office of Oversight, Division of Market Regulation,3235,Securities and Exchange Commission,SEC,202 942-0073",,,,,,,,Deleted at Agency Request; 10/01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AE52,3235,Securities and Exchange Commission,,,Securities Transactions Exempt From Transaction Fees,"In the Unified Agenda of Federal Regulations published on May 8, 1995, the Commission stated its intention to withdraw this item from the published agenda because it did not expect to consider the item within the next 12 months, with the provision that it might be considered at some subsequent point. This item is withdrawn.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 240.31-1; 17 CFR 240.31-1(g),15 USC 78a et seq; 15 USC 77c et seq,No,,,,,,,"Ivette,Lopez,Office of Market Supervision, Division of Market Regulation,3235,Securities and Exchange Commission,SEC,202 942-0765,Division of Market Regulation, 450 5th Street NW,Washington,DC,20549",,,,,,,,NPRM; 06/03/1991; 56 FR 25056,NPRM Comment Period End; 07/03/1991,Deleted at Agency Request; 10/01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AG28,3235,Securities and Exchange Commission,,,"Proposed Rule 12f-2, ""Extending Unlisted Trading Privileges""","The Unlisted Trading Privilege Act of 1994 (UTP Act) as enacted on October 22, 1994, streamlined the regulatory process for exchange trading of securities not listed on the subject exchange, i.e., via extensions of unlisted trading privileges (UTP). The UTP Act also requires the U.S. Securities & Exchange Commission to prescribe by rule whether exchanges should be required to wait before trading a security that is listed on another exchange and is the subject of an initial public offering (listed IPO security). The rulemaking was completed on April 2 1995, and also included amendments to rule 12f-5.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 240.12f-1; 17 CFR 240.12f-2; 17 CFR 240.12f-3; 17 CFR 240.12f-5; 17 CFR 240.12f-6,15 USC 78l(f),No,,,,,,,"Betsy,Prout,Office of Market Supervision, Division of Market Regulation,3235,Securities and Exchange Commission,SEC,202 942-0170",,,,,,,,NPRM; 02/02/1995; 60 FR 7718,NPRM Comment Period End; 03/13/1995,Final Action; 04/21/1995; 60 FR 20891,Final Action Effective; 04/21/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199510,3235-AF91,3235,Securities and Exchange Commission,,,Rules of Practice,"The Commission has adopted comprehensive revisions to its Rules of Practice. This revision stems from the work of the Task Force on Administrative Proceedings, which examined the rules and procedures governing Commission administrative proceedings. Following passage of the Securities Enforcement Remedies and Penny Stock Reform Act, the Task Force expanded its work to include developing recommendations to implement the Commission's new powers under the Act. Among the major elements of the revised Rules of Practice are: new procedures for temporary cease-and-desist order proceedings; new rules governing the collection and distribution of disgorgement required by Commission order; a streamlined discovery process; an expanded role for prehearing conferences; an expanded availability of summary disposition of matters of law; and production of documents, pursuant to subpoena, prior to the start of a hearing. The Commission has also established guidelines for the completion of key phases of contested adjudications; required periodic case status reports; and will disclose more information about its adjudicatory docket.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Completed Actions,,17 CFR 200; 17 CFR 201; 17 CFR 202; 17 CFR 203; 17 CFR 209; 17 CFR 228; 17 CFR 229; 17 CFR 230; 17 CFR 232; 17 CFR 240; 17 CFR 250; 17 CFR 260; 17 CFR 270; 17 CFR 275,15 USC 77f; 15 USC 77g; 15 USC 77h; 15 USC 77h-1; 15 USC 77j; 15 USC 77s; 15 USC 77u; 15 USC 78c(b); 15 USC 78d-1; 15 USC 78d-2; 15 USC 78l; 15 USC 78m; 15 USC 78n; 15 USC 78o(d); 15 USC 78o-3,No,,,,,,,"Andrew,Glickman,Z.,Office of Counseling and Regulatory Policy, Office of the General Counsel,3235,Securities and Exchange Commission,SEC,202 942-0870",Statutory; Final; 10/15/1991;  A statutory deadline applies to the rules regarding temporary cease and desist and disgorgement. No deadline applies to any of the other rules.,,,,,,,NPRM; 11/22/1993; 58 FR 61752,NPRM Comment Period End; 01/06/1994,NPRM Comment Period Extended to 02/04/94; 01/11/1994; 59 FR 1509,Final Action; 06/09/1995; 60 FR 32738,Final Action Effective; 07/24/1995,Technical Amendments and Corrections; 09/07/1995; 60 FR 46498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AA97,0970,Administration for Children and Families,0900,Department of Health and Human Services,"Foster Care, Adoption Assistance, and Child Welfare Services",This NPRM will propose requirements that implement the statutory provisions of the Social Security Act Amendments of 1994 on review of State programs under Parts B and E of the Social Security Act for conformity with State Plan requirements.,Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1355; 45 CFR 1356; 45 CFR 1357,42 USC 627; 42 USC 671; 42 USC 1320,No,,,,,,,"Daniel,Lewis,H.,Deputy Associate Commissioner, Children's Bureau, Adm. on Children, Youth & Fami,0970,Administration for Children and Families,ACF,202 205-8594,P.O. Box 1182,Washington,DC,20013",Statutory; NPRM; 07/01/1995;   ,,,,,,,NPRM; 12/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AB47,0970,Administration for Children and Families,0900,Department of Health and Human Services,Block Grant Programs (Low Income Home Energy Assistance Program --LIHEAP)--FY 1995 and FY 1996 Provisions,"This Notice of Proposed Rulemaking will amend the DHHS block grant regulations to implement changes to the Low Income Home Energy Assistance Program (LIHEAP) statute which were made by the Human Services Amendments of 1994 (Pub. L. 103-252). Several of the provisions in the new law are self-implementing, but a few require implementing regulations. The major provisions requiring implementing regulations are: (1) Inclusion of new Assurance 16, to require grantees to submit as a part of their annual application a description of their ""self-sufficiency"" activities and to submit a report to DHHS on the effect of these activities; (2) Inclusion of allowable uses of DOE rules for weatherization services provided with LIHEAP funds; (3) Inclusion for requirements for submission of data on households served. In addition, other related amendments to the regulations will be included, concerning the following issues: (1) Consideration of different weighting of factors under the allocation formula for the leveraging incentive program; (2) Hearing requirements for audit disallowances; and (3) Allotments for territories.","Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 96,42 USC 8621,No,,,,,,,"Janet,Fox,M.,Director, Division of Energy Assistance, Office of Community Services,0970,Administration for Children and Families,ACF,202 401-9351,370 L'Enfant Promenade SW.,Washington,DC,20447",,,,,,,,NPRM; 07/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AB49,0970,Administration for Children and Families,0900,Department of Health and Human Services,Administrative Flexibility Rule,This proposed rule adds a new section 205.31 which will provide a simple administrative process for requesting waivers of certain AFDC regulatory provisions.,Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 205.31,42 USC 1302,No,,,,,,,"Mack,Storrs,A.,Director, Division of Self-Sufficiency Programs,0970,Administration for Children and Families,ACF,202 401-9289,mstorrs@acf.dhhs.gov,Office of Family Assistance, 370 L'Enfant Promenade SW,Washington,DC,20447",,,,,,,,NPRM; 07/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AB52,0970,Administration for Children and Families,0900,Department of Health and Human Services,Designation of Alternative Agency To Serve Indian Tribal Children,This NPRM will specify a process by which an Indian tribe may identify and establish an alternative agency to provide Head Start Services if the agency previously serving the tribe is terminated.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1302,"42 USC 9801, et seq",Yes,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 07/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AB54,0970,Administration for Children and Families,0900,Department of Health and Human Services,Construction of Head Start Facilities,This NPRM will establish procedures to be used by Head Start agencies in requesting to use Head Start grant funds to construct or renovate a Head Start facility.,Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1309,"42 USC 9801, et seq",Yes,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 08/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AB55,0970,Administration for Children and Families,0900,Department of Health and Human Services,Quality Standards for Early Head Start and Head Start Programs,"The NPRM will establish performance standards with respect to services provided to children 0 to 5 years old by Early Head Start and Head Start Programs, including health, education, parent involvement, nutritional, social and transitional services, administrative and financial management standards and condition and location of facilities used to carry out activities.",Other Significant,Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1301; 45 CFR 1302; 45 CFR 1305; 45 CFR 1306; 45 CFR 1308; 45 CFR 1309,42 USC 9801,Yes,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",Statutory; NPRM; 05/18/1995;  Legal deadline only pertains to performance standards.,,,,,,,NPRM; 04/22/1996; 61 FR 17754,NPRM Comment Period End; 06/21/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AB56,0970,Administration for Children and Families,0900,Department of Health and Human Services,Head Start Fellowship Program,This NPRM will establish the policies and procedures to be used in selecting individuals to be part of the Head Start Fellowship Program.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1311,42 USC 9801,No,,,,,,,"Douglas,Klafehn,Deputy Associate Commissioner, Head Start,0970,Administration for Children and Families,ACF,202 205-8569,dklafehn@acf.dhhs.gov,330 C Street SW.,Washington,DC,20447",,,,,,,,NPRM; 05/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AB60,0970,Administration for Children and Families,0900,Department of Health and Human Services,On-Site Foster Care Eligibility Reviews,This NPRM will propose requirements that govern on-site eligibility reviews that the Administration for Children and Families conducts to assure State agencies' compliance with the statutory requirements under Title IV-E of the Social Security Act for eligibility of foster care providers and eligibility of the children in foster care.,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Proposed Rule Stage,,45 CFR 1356,42 USC 1302,No,,,,,,,"Daniel,Lewis,H.,Deputy Associate Commissioner, Children's Bureau, Adm. on Children, Youth & Fami,0970,Administration for Children and Families,ACF,202 205-8594,P.O. Box 1182,Washington,DC,20013",,,,,,,,NPRM; 10/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199604,0970-AB11,0970,Administration for Children and Families,0900,Department of Health and Human Services,Amendments to Developmental Disabilities Rules,This rule updates current rules with clarifications and new requirements to implement recent changes in the Developmental Disabilities Assistance and Bill of Rights Act Amendments of 1990 (Pub. L. 101-496) and 1994 (Pub. L. 103-230).,"Substantive, Nonsignificant",Previously Published in The Unified Agenda,Final Rule Stage,,45 CFR 1385; 45 CFR 1386; 45 CFR 1387; 45 CFR 1388,42 USC 6000 et seq,No,,,,,,,"John,Doyle,Director, Administration and Planning Staff, Administration on Developmental Dis,0970,Administration for Children and Families,ACF,202 690-6590,Room 315D, 200 Independence Avenue SW.,Washington,DC,20201",Statutory; Final; 10/03/1994;   ,Statutory; Final; 04/29/1991;   ,,,,,,NPRM; 05/18/1995; 60 FR 26774,Final Action; 07/00/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
